u,1148,2420
u,305,1148
u,1025,1974
u,1636,755
u,788,591
u,301,1443
u,1173,289
u,2046,1770
u,725,1282
u,1066,257
u,1707,43
u,2161,2049
u,903,89
u,816,893
u,62,651
u,38,1560
u,889,2055
u,1647,577
u,231,642
u,29,538
u,1851,1978
u,1605,1273
u,2415,1996
u,558,1740
u,330,441
u,2069,2283
u,1215,2198
u,208,2041
u,1954,1686
u,1098,1509
u,288,1979
u,472,195
u,2198,1143
u,1168,121
u,1492,352
u,639,943
u,663,159
u,2102,1657
u,534,1863
u,1241,1136
u,1421,792
u,1500,1686
u,301,2421
u,2266,173
u,2410,495
u,2268,1043
u,641,1919
u,1787,2234
u,8,1954
u,1820,1767
u,1775,481
u,1692,922
u,1356,2175
u,678,1815
u,712,1438
u,2344,1742
u,426,1643
u,1306,1930
u,1486,878
u,428,862
u,1727,1209
u,32,895
u,335,191
u,1588,1804
u,2296,1497
u,237,2243
u,379,2275
u,964,323
u,110,1183
u,1266,447
u,1702,316
u,1592,1603
u,1977,621
u,861,398
u,1430,1013
u,527,2188
k,607,1821
k,607,607
k,1214,1214
k,1821,1821
k,1821,607
