u,679,1813
u,2207,781
u,1287,1351
u,2087,1658
u,979,524
u,944,2306
u,662,1546
u,1933,962
u,726,1985
u,780,2377
u,2076,1941
u,2033,1131
u,1911,2362
u,750,2269
u,1443,115
u,1770,2371
u,859,153
u,1680,1757
u,1022,134
u,1833,1881
u,1840,370
u,874,34
u,1619,1607
u,1287,1127
u,1256,273
u,152,1425
u,1524,2040
u,102,1732
u,2091,345
u,2119,1374
u,1037,860
u,1694,1304
u,1579,2376
u,546,1394
u,1631,2212
u,958,1802
u,195,1307
u,126,1625
u,262,720
u,356,2325
u,2413,188
u,1369,2349
u,1601,520
u,2242,306
u,129,22
u,942,1101
u,110,408
u,400,162
u,425,1579
u,750,488
u,2203,600
u,1115,1532
u,613,528
u,492,949
u,1408,548
u,483,299
u,1882,2161
u,1085,1746
u,335,12
u,1159,1039
u,1178,1620
u,1819,1076
u,601,330
u,2263,2132
u,362,795
u,424,1856
u,1760,2112
u,1510,692
u,786,1671
u,1483,1840
u,501,147
u,2053,1483
u,1599,776
u,1174,2180
u,357,600
u,1960,391
u,1266,1963
u,15,1046
u,2117,2352
u,61,1141
u,1913,1991
u,1395,390
u,1933,1386
u,332,1076
u,260,1798
u,197,329
u,1455,977
u,1488,1575
u,1506,458
u,455,2040
u,840,390
u,2397,1023
u,1583,281
u,1424,1328
u,1022,384
u,1554,1212
u,2406,1709
u,576,2177
u,1399,234
u,230,1613
u,182,2192
u,645,15
u,467,1104
u,6,2179
u,771,240
u,821,1306
u,2263,1210
u,2308,1480
u,755,2129
u,645,728
u,1003,1339
u,1076,1116
u,62,1878
u,2259,1859
u,1750,124
u,1213,529
u,84,581
u,2362,59
u,1223,1464
u,1120,255
u,1433,1228
u,1566,1437
u,1598,1896
u,1166,1338
u,1234,2339
u,1725,664
u,1355,1555
u,1966,1544
u,169,932
u,1133,633
u,19,2293
u,191,633
u,974,679
u,906,1475
u,1806,1237
u,2092,2107
u,2384,1397
u,903,884
u,1921,721
u,2277,2271
u,662,1050
u,1787,1626
u,304,1955
u,1245,840
u,1504,2168
u,1166,430
u,1354,63
u,1787,1400
u,1443,1471
u,799,957
u,665,246
k,607,1821
k,607,607
k,1214,1214
k,1821,1821
k,1821,607
