u,1682,386
u,1887,1365
u,325,2215
u,666,1797
u,549,2261
u,1612,1639
u,2361,2080
u,1478,2169
u,980,379
u,424,1665
u,1783,1267
u,2113,1023
u,1638,1840
u,428,860
u,1229,2004
u,830,1297
u,2196,1121
u,2066,1923
u,99,415
u,1062,1740
u,1826,446
u,263,1423
u,1979,298
u,435,1111
u,1899,1974
u,1778,1010
u,7,2302
u,165,1482
u,2117,76
u,1471,2051
u,59,1748
u,2182,2127
u,1066,1401
u,1540,1897
u,522,1041
u,2095,2338
u,370,1901
u,2157,1526
u,971,1623
u,2340,964
u,246,337
u,2188,1907
u,829,282
u,2012,1659
u,1516,1352
u,1665,2024
u,1086,2387
u,599,1317
u,748,531
u,2137,396
u,451,201
u,65,574
u,1197,2129
u,488,2160
u,1425,1041
u,453,1238
u,1393,1976
u,1336,1451
u,830,706
u,1670,2251
u,2337,231
u,440,1338
u,1247,1003
u,1897,663
u,1232,1179
u,792,1035
u,176,1944
u,303,642
u,648,57
u,102,60
u,30,947
u,357,2419
u,1745,1810
u,2052,2110
u,1745,260
u,1654,1228
u,1658,2391
u,1179,550
u,775,2205
u,2297,1560
u,1815,43
u,1718,711
u,2350,549
u,863,151
u,2058,1817
u,290,948
u,1382,2293
u,1082,119
u,2424,400
u,515,2033
u,1580,1472
u,2272,815
u,1006,773
u,1952,2393
u,52,1204
u,1827,2270
u,1117,1125
u,27,811
u,445,1800
u,1081,1272
u,1689,963
u,1478,316
u,206,50
u,959,2112
u,2217,54
u,1334,1125
u,2196,269
u,2316,667
u,1555,1093
u,1147,417
u,1738,1950
u,2194,2367
u,756,1926
k,607,1821
k,607,607
k,1214,1214
k,1821,1821
k,1821,607
