u,1517,358
u,971,2058
u,735,1833
u,676,1518
u,241,974
u,442,619
u,1775,1346
u,944,2370
u,1635,1610
u,1580,2330
u,2188,1460
u,790,380
u,2133,1161
u,1020,223
u,8,1635
u,2080,2247
u,2148,2125
u,2196,2025
u,727,2408
u,1923,2025
u,1350,2389
u,1042,1678
u,179,2240
u,1788,1141
u,1800,356
u,2393,876
u,1701,1844
u,1896,799
u,1329,1835
u,1136,1441
u,221,1089
u,2095,950
u,1354,1736
u,703,2248
u,1910,2280
u,1770,1989
u,1711,1256
u,609,1301
u,914,2181
u,1092,2355
u,549,2223
u,798,270
u,837,545
u,736,496
u,548,2419
u,1436,1344
u,1105,1833
u,1092,1958
u,1310,353
u,1976,1321
u,389,2359
u,1719,915
u,2222,657
u,1121,404
u,1104,806
u,330,1455
u,1531,2200
k,607,1821
k,607,607
k,1214,1214
k,1821,1821
k,1821,607
